0,11.07
2.0408,11.392
4.0816,12.314
6.1224,26.499
8.1633,26.102
10.204,3.3166
12.245,27.098
14.286,39.315
16.327,34.798
18.367,38.513
20.408,36.368
22.449,42.006
24.49,36.27
26.531,51.093
28.571,54.066
30.612,58.829
32.653,31.99
34.694,51.481
36.735,70.441
38.776,53.146
40.816,77.178
42.857,70.393
44.898,76.851
46.939,57.687
48.98,63.558
51.02,95.424
53.061,62.65
55.102,69.158
57.143,78.009
59.184,84.284
61.224,103.33
63.265,97.259
65.306,97.98
67.347,93.22
69.388,113.89
71.429,101.44
73.469,95.146
75.51,119.73
77.551,118.82
79.592,98.524
81.633,123.36
83.673,96.13
85.714,97.709
87.755,123.26
89.796,122.22
91.837,125.44
93.878,125.43
95.918,133.36
97.959,134.37
100,139.9
