0.9, 0.5
0.65, 1
0, 1
0, 1.6
0.4, 1.6
0.42, 2.38
0.47, 2.7
0.5, 2.88
2.8, 3.25
5.25, 3.5
7.7, 5.18
8.0, 5.31
10.5, 5.45
13.6, 5.3
13.75, 5.2
13.85, 5.1
15.8, 3.55
17.3, 3.4
18.1, 3.26
18.25, 2.68
18.1, 1.7
18.7, 1.7
18.6, 1
18.2, 1
17.7, 0.52
15.9, 0.4
15.9, 0.4
15.9, 0.4
15.75, 1
15.3, 1.7
14.6, 2
13.9, 2
13.3, 1.6
12.9, 1.15
12.7, 0.6
12.67, 0.2
12.67, 0.2
12.67, 0.2
11, 0.2
5.3, 0.2
5.3, 0.2
5.3, 0.2
5.13, 1.0
4.8, 1.55
4.32, 1.9
3.7, 2.03
3.13, 1.92
2.65, 1.65
2.26, 1
2.2, 0.4
2.2, 0.4
2.2, 0.4
0.9, 0.5



