0,34.157
2.0408,58.74
4.0816,75.82
6.1224,5.0969
8.1633,30.546
10.204,110.11
12.245,12.865
14.286,46.568
16.327,119.64
18.367,207.12
20.408,64.883
22.449,179.92
24.49,110.25
26.531,156.38
28.571,157.51
30.612,288.99
32.653,286.13
34.694,130.83
36.735,259.39
38.776,339.51
40.816,239.53
42.857,348.49
44.898,364.69
46.939,450.55
48.98,400.72
51.02,491.19
53.061,489.88
55.102,472.49
57.143,571.77
59.184,606.22
61.224,656.43
63.265,697.43
65.306,663.14
67.347,868.42
69.388,927.89
71.429,887.88
73.469,899.63
75.51,1006.4
77.551,1020.7
79.592,1101.1
81.633,1045.6
83.673,1307.5
85.714,1282.5
87.755,1363.7
89.796,1475.9
91.837,1316.8
93.878,1458
95.918,1576.6
97.959,1662.4
100,1663.7
