0,11.07,12.423
2.0408,11.392,14.946
4.0816,12.314,17.469
6.1224,26.499,19.992
8.1633,26.102,22.515
10.204,3.3166,25.038
12.245,27.098,27.561
14.286,39.315,30.084
16.327,34.798,32.607
18.367,38.513,35.129
20.408,36.368,37.652
22.449,42.006,40.176
24.49,36.27,42.699
26.531,51.093,45.222
28.571,54.066,47.744
30.612,58.829,50.267
32.653,31.99,52.791
34.694,51.481,55.314
36.735,70.441,57.837
38.776,53.146,60.36
40.816,77.178,62.882
42.857,70.393,65.406
44.898,76.851,67.929
46.939,57.687,70.452
48.98,63.558,72.975
51.02,95.424,75.497
53.061,62.65,78.021
55.102,69.158,80.544
57.143,78.009,83.067
59.184,84.284,85.59
61.224,103.33,88.112
63.265,97.259,90.636
65.306,97.98,93.159
67.347,93.22,95.682
69.388,113.89,98.205
71.429,101.44,100.73
73.469,95.146,103.25
75.51,119.73,105.77
77.551,118.82,108.3
79.592,98.524,110.82
81.633,123.36,113.34
83.673,96.13,115.87
85.714,97.709,118.39
87.755,123.26,120.91
89.796,122.22,123.44
91.837,125.44,125.96
93.878,125.43,128.48
95.918,133.36,131
97.959,134.37,133.53
100,139.9,136.05
