  1.6000000e+001  2.0000000e+000  3.0000000e+000  1.3000000e+001
  5.0000000e+000  1.1000000e+001  1.0000000e+001  8.0000000e+000
  9.0000000e+000  7.0000000e+000  6.0000000e+000  1.2000000e+001
  4.0000000e+000  1.4000000e+001  1.5000000e+001  1.0000000e+000
 -5.7000000e+000 -5.7000000e+000 -5.7000000e+000 -5.7000000e+000
 -5.7000000e+000 -5.7000000e+000 -5.7000000e+000 -5.7000000e+000
  8.0000000e+000  6.0000000e+000  4.0000000e+000  2.0000000e+000
  1.6000000e+001  2.0000000e+000  3.0000000e+000  1.3000000e+001
  5.0000000e+000  1.1000000e+001  1.0000000e+001  8.0000000e+000
  9.0000000e+000  7.0000000e+000  6.0000000e+000  1.2000000e+001
  4.0000000e+000  1.4000000e+001  1.5000000e+001  1.0000000e+000
 -5.7000000e+000 -5.7000000e+000 -5.7000000e+000 -5.7000000e+000
 -5.7000000e+000 -5.7000000e+000 -5.7000000e+000 -5.7000000e+000
  8.0000000e+000  6.0000000e+000  4.0000000e+000  2.0000000e+000
  1.0000000e+000  1.0000000e+000  1.0000000e+000  1.0000000e+000  1.0000000e+000  1.0000000e+000  1.0000000e+000  1.0000000e+000  1.0000000e+000  1.0000000e+000 -9.9000000e+001
  1.0000000e+000  1.0000000e+000  1.0000000e+000  1.0000000e+000  1.0000000e+000  1.0000000e+000  1.0000000e+000  1.0000000e+000  1.0000000e+000  1.0000000e+000
 -9.9000000e+001
